Time,N,Seed,Model,Value
30,10,115,control,0.01193278285279892
30,30,115,control,0.02936977883866109
33,10,115,control,-0.05223588761933081
33,30,115,control,-0.02677815099140208
36,10,115,control,0.02710324212093699
36,30,115,control,0.01482895807221502
39,10,115,control,0.03569983119020028
39,30,115,control,6.9784849064951e-4
42,10,115,control,0.01609168755747562
42,30,115,control,0.03447549107161381
45,10,115,control,0.02975456139841732
45,30,115,control,0.01738713030420432
48,10,115,control,0.02558778776030065
48,30,115,control,0.0032469044589393
0,10,116,control,0.02888774934045813
0,30,116,control,-0.03583776509283233
3,10,116,control,-0.03190746589198461
3,30,116,control,-0.03549125498074488
6,10,116,control,0.01264177565977012
6,30,116,control,-0.03147436807746734
9,10,116,control,-0.08429954775760982
9,30,116,control,0.0183272257338508
12,10,116,control,0.02852326957488178
12,30,116,control,-0.04008250590189444
15,10,116,control,-0.00217756652065569
15,30,116,control,-0.0667772286241468
18,10,116,control,0.00735247285964454
18,30,116,control,-0.03647899348349577
21,10,116,control,-0.04643280999651147
21,30,116,control,-0.0365435876809982
24,10,116,control,-0.06854375636984152
24,30,116,control,-0.05425592807427364
27,10,116,control,-0.00480453118297012
27,30,116,control,-0.0425388943764808
30,10,116,control,0.00984022741041601
30,30,116,control,-0.05037191651377707
33,10,116,control,-0.02253971383776903
33,30,116,control,-0.05871867583335512
36,10,116,control,-0.02896097968211477
36,30,116,control,-0.02080701586376227
39,10,116,control,0.00227985483970204
39,30,116,control,-0.04211498521884111
42,10,116,control,-0.0458642583019245
42,30,116,control,-0.05645402749272111
45,10,116,control,-0.04498481059084121
45,30,116,control,-0.02363516537131033
48,10,116,control,-0.03460480377488744
48,30,116,control,-0.05314073459694408
0,10,117,control,-0.0487447894168115
0,30,117,control,-0.07556322265628615
3,10,117,control,-0.1661248568433045
3,30,117,control,-0.02837761403871151
6,10,117,control,-0.12258585823179902
6,30,117,control,-0.0676378315814388
9,10,117,control,-0.06388052511347639
9,30,117,control,-0.06487249950889022
12,10,117,control,0.01211523350397503
12,30,117,control,-0.02231554835966354
15,10,117,control,0.03448645557493055
15,30,117,control,-0.05014560059566404
18,10,117,control,-0.0803814858823361
18,30,117,control,-0.09454773251158588
21,10,117,control,-0.11289183321747828
21,30,117,control,-0.12115894169737744
24,10,117,control,-0.03519318936542952
24,30,117,control,-0.08143295727654332
27,10,117,control,-0.0940562288424558
27,30,117,control,-0.1173482931545152
30,10,117,control,-0.11352872307585124
30,30,117,control,-0.04958948025009947
33,10,117,control,-0.01250646920004464
33,30,117,control,-0.01749223743925784
36,10,117,control,-0.22400633195135297
36,30,117,control,-0.06465067209409495
39,10,117,control,-0.06472032944705954
39,30,117,control,-0.09181191888093052
42,10,117,control,-0.03968601264829218
42,30,117,control,-0.05885280844873224
45,10,117,control,-0.0362219904122302
45,30,117,control,-0.08322912926856692
48,10,117,control,-0.12291293709376824
48,30,117,control,-0.07078226535647694
0,10,118,control,-0.06041670970677924
0,30,118,control,-0.02018397221144055
3,10,118,control,-0.05854896864381725
3,30,118,control,-0.04643496520315899
6,10,118,control,0.0033806634807941
6,30,118,control,-0.02313170461238265
9,10,118,control,-0.05667984704455102
9,30,118,control,0.0106723634603131
12,10,118,control,0.02736569094599285
12,30,118,control,-0.00791281264454849
15,10,118,control,0.02600529746558358
15,30,118,control,0.00878169746755533
18,10,118,control,-0.01541039918327642
18,30,118,control,-0.02807213624660364
21,10,118,control,-0.0306536338533405
21,30,118,control,-0.05832163644671072
24,10,118,control,-0.01520218519322128
24,30,118,control,0.01315727926168556
27,10,118,control,-0.02393660925713693
27,30,118,control,-0.01211472043263024
30,10,118,control,-0.0304339534200038
30,30,118,control,0.00340630502484271
33,10,118,control,-0.02859458703666975
33,30,118,control,-0.00401163215728051
36,10,118,control,0.02274523561507505
36,30,118,control,-0.02925859417969552
39,10,118,control,0.0444003594125973
39,30,118,control,0.07473992905773416
42,10,118,control,0.00550211756834132
42,30,118,control,0.042580651387199
45,10,118,control,-0.09086891546956834
45,30,118,control,-0.02142659938810601
48,10,118,control,0.04395690998493551
48,30,118,control,-0.0249094777847492
0,10,119,control,-0.03850842685262067
0,30,119,control,-0.05548243472668046
3,10,119,control,0.05435111614526554
3,30,119,control,-0.01973449306259538
6,10,119,control,1.3152667898079e-4
6,30,119,control,-0.06014248597089134
9,10,119,control,-0.03521793298615349
9,30,119,control,-0.00232432862130198
12,10,119,control,-0.05521781737811986
12,30,119,control,-0.04397374554117394
15,10,119,control,0.01418098392489595
15,30,119,control,-0.01698180362649551
18,10,119,control,-0.00407772896865292
18,30,119,control,0.03249688569659319
21,10,119,control,-0.01501190751982506
21,30,119,control,-0.04448805419318517
24,10,119,control,-0.0194587834628559
24,30,119,control,-0.08809895405735374
27,10,119,control,-0.00250916856045033
27,30,119,control,-0.05864443013580006
30,10,119,control,-0.01183848200473935
30,30,119,control,0.00100587381449653
33,10,119,control,0.00868701447100496
33,30,119,control,-0.00680906066450174
36,10,119,control,-0.00527249922569239
36,30,119,control,-0.09614955751715398
39,10,119,control,-0.03253481784095575
39,30,119,control,-0.06696614453943436
42,10,119,control,0.01446364140180729
42,30,119,control,-0.04455568074091088
45,10,119,control,-0.07384376794319719
45,30,119,control,-0.08958585366598315
48,10,119,control,-0.04449881511376008
48,30,119,control,-0.04693585897447586
0,10,12,control,-0.18729763165963623
0,30,12,control,-0.14515803905468477
3,10,12,control,-0.06797673478174042
3,30,12,control,-0.1290115422966665
6,10,12,control,-0.0406155427286843
6,30,12,control,-0.00771914100485079
9,10,12,control,-0.07805290003526057
9,30,12,control,-0.07444977790170526
